Roxie-split, rx010507_PMVabc_M1c001.nev, M1,7,0.853849,2.473282,96
Roxie-split, rx010507_PMVabc_M1c001.nev, PMd,2,1.138218,0.43731,32
Roxie-split, RX061102_PMvA_PMdA_M1A001.nev, M1,26,1.483867,2.428665,96
Roxie-split, RX061102_PMvA_PMdA_M1A001.nev, PMd,0, NaN, NaN,32
Roxie-split, RX061102_PMvA_PMdA_M1A001.nev, M1,26,1.483867,2.428665,96
Roxie-split, RX061102_PMvA_PMdA_M1A001.nev, PMd,0, NaN, NaN,32
Roxie-split, RX061109_M1CD_PMdAB002.nev, PMd,14,3.202369,3.345898,64
Roxie-split, RX061109_M1CD_PMdAB002.nev, M1d,12,2.228029,3.154208,64
Roxie-split, RX061109_M1CD_PMdAB002.nev, PMd,14,3.004783,3.136008,64
Roxie-split, RX061109_M1CD_PMdAB002.nev, M1d,12,2.119617,2.845756,64
Roxie-split, RX061109_M1CD_PMdAB005.nev, M1,11,1.633459,2.867804,96
Roxie-split, RX061109_M1CD_PMdAB005.nev, PMd,4,1.391673,3.552121,32
Roxie-split, RX061109_M1CD_PMdAB005.nev, M1,11,1.633459,2.867804,96
Roxie-split, RX061109_M1CD_PMdAB005.nev, PMd,4,1.391673,3.552121,32
Roxie-split, RX061109_M1PMvABC001.nev, M1,36,1.505296,2.332394,96
Roxie-split, RX061109_M1PMvABC001.nev, PMd,0, NaN, NaN,32
Roxie-split, RX061109_M1PMvABC001.nev, M1,36,1.505296,2.332394,96
Roxie-split, RX061109_M1PMvABC001.nev, PMd,0, NaN, NaN,32
Roxie-split, RX061206_M1_PMd001.nev, M1,4,1.476344,3.296933,96
Roxie-split, RX061206_M1_PMd001.nev, PMd,5,1.251359, NaN,32
Roxie-split, RX061206_M1_PMd001.nev, M1,4,1.476344,3.296933,96
Roxie-split, RX061206_M1_PMd001.nev, PMd,5,1.251359, NaN,32
Roxie-split, RX061208_PMdAB_PMv001.nev, PMd,6,1.05688,2.33913,64
Roxie-split, RX061208_PMdAB_PMv001.nev, M1d,26,1.737486,1.123233,64
Roxie-split, RX061208_PMdAB_PMv001.nev, PMd,6,1.05688,2.33913,64
Roxie-split, RX061208_PMdAB_PMv001.nev, M1d,26,1.737486,1.123233,64
Roxie-split, RX061212_PMv_M1_PMd001.nev, M1,17,1.206357,2.199484,96
Roxie-split, RX061212_PMv_M1_PMd001.nev, PMd,2,0.981176,0.524969,32
Roxie-split, RX061212_PMv_M1_PMd001.nev, M1,17,1.206357,2.199484,96
Roxie-split, RX061212_PMv_M1_PMd001.nev, PMd,2,0.981176,0.524969,32
Roxie-split, rx070105_PMVabc_M1c001.nev, M1,9,0.94351,2.407679,96
Roxie-split, rx070105_PMVabc_M1c001.nev, PMd,2,1.17216, NaN,32
Roxie-split, RX070227_PMvAB_PMd_CD001.nev, PMd,12,1.991502,2.806071,64
Roxie-split, RX070227_PMvAB_PMd_CD001.nev, M1d,3,2.688168,2.412931,64
Roxie-split, RX070228_PMvA_PMdB_M1CD001.nev, M1,10,1.316342,3.109875,96
Roxie-split, RX070228_PMvA_PMdB_M1CD001.nev, PMd,9,2.578308,1.278433,32
Roxie-split, RX070301_PMvA_PMdB_M1CD001.nev, PMd,4,0.961729,2.754773,64
Roxie-split, RX070301_PMvA_PMdB_M1CD001.nev, M1d,16,2.304612,0.781641,64
Roxie-split, RX070302_PMvA_PMdB_M1CD001.nev, PMd,6,3.188158,3.960446,64
Roxie-split, RX070302_PMvA_PMdB_M1CD001.nev, M1d,9,1.415204,3.508234,64
Roxie-split, RX070302_PMvA_PMdB_M1CDsrtd.nev, PMd,6,3.188158,3.960446,64
Roxie-split, RX070302_PMvA_PMdB_M1CDsrtd.nev, M1d,9,1.415204,3.508234,64
Roxie-split, Rx1050919_PMvab_MIab001.nev, PMd,11,1.33334,2.185099,64
Roxie-split, Rx1050919_PMvab_MIab001.nev, M1d,16,1.830812,1.543277,64
Roxie-split, Rx1060913_PMVab_M1ba001.nev, M1,21,1.391371,2.008608,96
Roxie-split, Rx1060913_PMVab_M1ba001.nev, PMd,0, NaN, NaN,32
Roxie-split, Rx1060918_PMVab_MIab.nev, PMd,29,1.94075,2.235766,64
Roxie-split, Rx1060918_PMVab_MIab.nev, M1d,22,2.138693,2.008624,64
Roxie-split, Rx1061017_M1a_PMVa_PMDc.nev, M1,29,1.30328,2.426831,96
Roxie-split, Rx1061017_M1a_PMVa_PMDc.nev, PMd,0, NaN, NaN,32
Roxie-split, Rx1061017_M1a_PMVa_PMDc.nev, M1,29,1.30328,2.426831,96
Roxie-split, Rx1061017_M1a_PMVa_PMDc.nev, PMd,0, NaN, NaN,32
Roxie-split, RX1061018_M1ab_PMDc.nev, M1,46,2.322308,2.825534,96
Roxie-split, RX1061018_M1ab_PMDc.nev, PMd,0, NaN, NaN,32
Roxie-split, RX1061018_M1ab_PMDc.nev, M1,46,2.322308,2.825534,96
Roxie-split, RX1061018_M1ab_PMDc.nev, PMd,0, NaN, NaN,32
Roxie-split, Rx1061024_PMvAB_M1A_PMdc.nev, PMd,37,2.417778,2.585501,64
Roxie-split, Rx1061024_PMvAB_M1A_PMdc.nev, M1d,18,1.871655,2.412699,64
Roxie-split, Rx1061024_PMvAB_M1A_PMdc.nev, PMd,37,2.417778,2.585501,64
Roxie-split, Rx1061024_PMvAB_M1A_PMdc.nev, M1d,18,1.871655,2.412699,64
Roxie-split, Rx1061025_PMvAB_M1A_PMdB001.nev, PMd,36,2.49133,2.549668,64
Roxie-split, Rx1061025_PMvAB_M1A_PMdB001.nev, M1d,25,2.24777,2.75889,64
Roxie-split, Rx1061025_PMvAB_M1A_PMdB001.nev, PMd,36,2.49133,2.549668,64
Roxie-split, Rx1061025_PMvAB_M1A_PMdB001.nev, M1d,25,2.24777,2.75889,64
